X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100
C6orf72	0.217312861	-0.289636101	0.368334551	0.02211669	0.043219255	0.1277202	0.083512016	0.19004034	0.197182754	-0.10959703	0.22470001	0.001569468	0.40450066	0.26971568	0.145554615	0.383269061	0.58704282	-0.059486501	0.447499393	0.000301625	0.254514039	0.161383512	0.298110356	0.084014194	-0.345402799	0.058995119	-0.016167935	-0.377433366	0.116384899	0.209852244	-0.529101669	0.057394427	-0.318479976	-0.480833084	-0.314497742	0.151641245	-0.495029422	-0.199493265	-0.391541774	-0.17545356	0.076009206	-0.393499837	0.123531681	-0.044868616	-0.706505335	-0.142663886	-0.50269127	0.119724606	0.03576329	-0.175751714	0.076778096	-0.273533252	0.02774923	-0.320276895	-0.290856032	0.178826613	-0.429736934	-0.150841374	0.267904288	-0.117787687	0.165310419	-0.305032986	0.165006436	-0.149147322	-0.163126556	0.21407008	-0.132245056	0.025245533	-0.214931881	-0.104652802	-0.168193649	0.020528832	0.093004191	0.346216989	0.457350111	0.077776641	0.192696852	0.272832648	-0.029297814	-0.64689279	0.151135287	0.163333927	-0.228043946	-0.001753886	-0.423140812	0.128307264	0.120864459	-0.197384492	0.23339513	-0.447801335	-0.162567612	-0.398456272	-0.223008178	-0.370044995	-0.231732812	-0.556797174	-0.304915392	-0.280178233	-0.127363082	-0.138999514
SLC2A12	-0.522593864	1.22966773	0.370471718	-0.727419907	-0.269251457	0.122279127	-0.04427781	0.310470239	-0.434169403	-0.069610181	0.352633712	-0.782818369	-0.298585612	1.460316176	2.429197971	1.525216652	2.186473186	-0.800884885	-0.828554346	-0.291052403	-0.544613175	1.871554782	0.188857063	-0.513236234	-0.248517821	-0.165044319	-0.174131923	-0.00514949	0.327560872	-0.268323485	0.251642477	-0.640638646	-0.457987208	-0.188418028	-1.090989099	-0.514449709	-0.353328077	-0.678615338	0.567774881	0.093169642	0.316299217	0.043551296	0.561395709	0.52224531	-0.877991456	-0.54999797	-0.782572817	-0.045859283	-1.197478724	-0.649304293	-0.216508303	-0.032489062	-0.060760955	-0.841115219	-0.330731249	0.296025625	-0.35937249	0.072743264	-0.792473807	-1.14325403	1.014939966	-0.304494486	1.034078411	-0.409574619	0.794123546	-0.316272725	-0.837392009	0.013852272	-0.444891738	0.733493356	-0.017780122	0.566667278	1.431930848	-0.336035493	-0.730836414	-0.179141509	-0.133774317	0.096292583	1.558173403	-0.438379033	-0.196508404	-0.252559003	-0.449565711	-0.193795798	-1.387335855	-0.49891597	-0.508069268	-1.089642749	0.730262218	-0.373942227	0.209536826	-0.073704032	0.080874947	0.215254065	-0.477752672	-0.669865464	-0.397809983	-0.600712485	-0.146559241	-0.266317997
MEST	0.165692371	0.035674894	0.252670794	-0.582228787	0.060783931	-0.260560917	0.172137739	-0.551430417	0.604629739	-0.782720258	-0.279541965	-0.11788641	0.391302822	0.130230641	-0.111940157	-0.276773958	-0.276175665	-0.170300713	0.501425264	-0.105070409	-0.062101032	-0.603733234	0.236550542	0.355014384	0.4634668	0.408664181	0.18336386	0.026551771	-0.736610199	0.703291895	-0.221705721	-0.024039309	0.236305626	0.024152711	0.746065611	0.193893737	0.40152888	-0.115724643	-0.107426184	0.258161406	0.143025755	0.398970419	0.125477	0.224854344	0.39064157	0.262535364	1.029558555	0.158768679	0.45738637	-0.009077976	0.096632253	0.179361016	0.214841176	-0.043552653	0.118851532	-0.229031972	0.729713174	0.460027635	0.434733422	0.639391861	0.012965274	0.234338607	-0.592158041	0.627098401	0.285390239	0.464141427	-0.403806647	-0.513854919	-0.124946955	0.246754931	-0.029563691	0.473851433	-0.449966973	0.160154292	0.172374731	0.122270837	-2.177326273	-0.449868648	-0.266539327	0.016280819	-0.578110798	0.51570125	0.455612086	-0.174164271	0.780653205	0.005066817	-0.383387563	-0.908349048	-0.024342364	0.682177617	-0.039860726	-0.146454248	0.427715457	0.484880769	-0.364983969	0.617986391	0.512908128	-0.119450735	0.188529037	0.25792766
KDELC2	-0.27949747	0.434871589	0.507486738	-0.209753482	0.079186984	0.26614699	-0.376433079	0.228290238	-0.33475134	0.360881291	0.332427662	-0.362373129	0.488555326	0.308798061	-0.017556178	0.272180668	0.277546586	0.125212378	-1.139547991	0.00584069	-0.194149711	0.777106717	-0.244433706	-0.153569591	-0.135897936	-0.14922062	0.041931898	-0.137116454	-0.268468681	-0.088596172	0.150155062	-0.235913597	-0.024048679	0.054367349	-0.086238758	-0.523162929	0.143738328	-0.123317018	0.180560941	0.160372176	0.186909279	0.025209841	0.240773284	-0.013317586	-0.289832767	-0.049253327	0.075653524	0.479063534	-0.103936295	-0.391300206	0.091943613	0.263911447	-0.178865353	0.195505205	-0.257480768	0.061689434	-0.18361042	-0.138731389	-0.475784706	-0.575293801	0.255950803	-0.175173955	0.155477902	0.109353805	0.201458641	-0.048409185	-0.660129107	0.465843819	0.01785834	0.348600502	-0.243107531	0.146877736	0.24128209	-0.261850684	-0.214293756	-0.082076945	0.363992986	-0.109407343	0.272150351	0.087204942	0.185526397	0.002722792	-0.43908056	0.027869932	-1.121225002	-0.255184419	-0.438363501	-0.398747493	0.475007558	0.322348838	0.533404932	0.767565028	-0.147114259	0.129104142	0.056632517	0.00754092	-0.186759593	-0.097476217	-0.247964827	0.169953863
MYBL1	0.694993234	0.348628096	0.064483795	0.37096641	0.31075021	-0.156565207	-0.228217922	0.678055482	-0.102702012	0.77305189	0.129973788	0.407646299	1.274580733	-0.208257442	-0.588638442	-0.645186464	-0.586561678	1.157630877	0.262086275	-0.034216548	0.858989031	0.071339336	0.196085228	-0.057604193	-0.085157895	-0.619505565	-0.142858355	0.462005871	-0.434598186	0.880138562	-0.41044978	0.228662145	-0.570026891	0.230730198	-0.580581496	-0.174357728	-0.103312012	-0.229269405	-0.158503788	0.136894582	-0.197465645	-0.459021426	-0.06416443	0.307084677	-0.611969246	-0.24345521	-0.178329236	0.202750486	-0.341455486	-0.172426516	0.32418808	0.280160896	0.3650244	0.013922204	-0.421163741	-0.175252184	-0.25239975	-0.691031966	0.390184808	-0.001133463	0.231579347	-0.670866823	0.406434879	-0.230666521	0.235399528	0.119052782	0.204115461	-0.388869932	-0.735036926	-0.510794739	0.386003491	-0.142951548	-0.221151273	0.556738932	0.350302799	-0.099252696	0.080008119	-0.397623564	-0.42408876	-0.174110605	0.386123402	0.295865905	-0.417483917	0.011988114	0.665755193	0.782704271	-0.037464118	-0.325760564	0.310661635	-0.449980007	-0.37845014	-0.132297113	-0.517528363	-0.537574145	-0.335583677	-0.151304665	-0.746026022	-0.154513576	-0.335197717	-0.33301076
MCM6	-0.436231944	0.807469873	-0.122903358	-0.14379199	0.176457314	-0.011063689	-0.557308435	0.222031383	-0.742008831	0.762017975	-0.176991432	-0.346898587	0.590602203	0.025512751	-0.599812637	-0.105966183	-0.450868182	0.16741446	-0.728500735	-0.102750032	-0.023790552	0.744227507	-0.320070501	-0.434269221	0.195871679	-0.180755015	0.023077442	0.308964074	-0.287824052	-0.088336841	0.009430826	-0.074176146	-0.070728539	0.593393912	0.117024335	-0.39414437	0.387401709	-0.167680489	0.44156909	0.715192441	0.356129904	0.371501267	-0.02859865	0.485151515	-0.266104453	-0.027872251	0.288878383	0.25516902	0.073702517	-0.132403194	-0.363546255	0.397158106	0.143131319	0.392910117	-0.19967651	0.254816587	-0.374644485	-0.216413096	-0.243741739	-0.328092629	-0.306334372	-0.20792791	0.461379211	0.028666973	0.429920132	0.017505922	-0.472359761	0.211658729	-0.041306738	0.29738173	0.060675653	0.077812739	-0.202405392	-0.358055802	-0.209376893	-0.091070648	0.265894114	0.019684457	0.264724033	0.285438191	0.078693361	0.06026633	-0.408724626	0.184116446	-0.460330791	-0.187406763	-0.235641031	-0.1014194	-0.290212551	0.526380501	0.507303573	0.931355523	-0.098660154	0.246130172	0.084958743	0.549996931	-0.044377889	0.184605751	-0.195352494	-0.252911784
SQSTM1	0.001381013	-0.365557223	0.504107196	0.042338803	-0.104205703	0.054317654	-0.142064693	-0.003750107	-0.158527574	-0.588834432	0.046219208	0.245912431	-0.025549712	0.047506767	0.205724223	0.289981367	0.239401127	0.199334411	0.109528624	0.085806322	0.162446282	0.104249934	0.394874574	0.175586886	0.251184593	-0.067018588	-0.128293804	-0.369252054	0.209693191	0.26296301	0.133825617	0.077957385	-0.144713803	-0.143924029	-0.220723259	0.167908307	-0.37723682	-0.219176695	-0.251709613	-0.255278547	0.112594459	-0.420815296	0.144616383	-0.145591124	-0.234741919	-0.180022032	-0.317734686	-0.046834344	-0.409886288	0.240754548	0.132546616	-0.04555856	-0.138989956	-0.02553501	0.059644497	-0.071617475	0.234724868	-0.084163973	0.130377727	0.449021684	0.597512548	-0.213685474	-0.282104969	0.025783733	-0.127408151	0.110811089	-0.064521098	0.248495601	-0.339434765	-0.150142469	0.156636646	0.25344239	0.073709757	0.511794364	0.09198795	0.012910707	0.277788551	-0.165472174	-0.329778647	-0.27136827	0.152682279	0.146272514	-0.072535538	-0.069057352	-0.011177988	-0.179854359	0.081022807	-0.151580989	0.242302916	0.0350018	0.172156886	-0.329305664	0.121422557	0.017498342	0.023394201	-0.017516929	-0.005981601	-0.41887807	-0.052381186	-0.08189686
KIFC1	-0.532334811	1.299705352	-0.774953978	-0.093219568	0.336519434	-0.34063896	-0.54484924	0.226229448	-0.870027797	1.353331771	-0.633376297	-0.304480017	0.97246736	-0.567609576	-1.036629137	-0.632388148	-0.79593809	0.507486031	-1.326805823	-0.228931645	-0.109914441	0.841051112	-0.905073997	-0.430547834	0.606984457	-0.831704408	-0.01682957	0.67292843	-0.715651125	-0.556974	0.12797374	-0.220262423	-0.21922849	1.039511638	0.398610472	-0.314851961	0.678593629	-0.042808031	0.828745784	0.972124527	0.207027317	0.016588488	-0.34683931	0.564763406	0.222891035	0.016849738	0.160866881	0.547471122	0.578103533	-0.442893516	-0.650778499	0.697702588	0.195877745	0.19777852	-0.096235508	-0.085373289	-0.625500654	-0.160980282	-0.629684885	-0.631746362	-0.226442703	0.140817734	0.835388861	0.339022392	0.733970203	0.047171976	-0.507824107	0.166878694	0.435634961	-0.102233051	0.076701	-0.003002846	-0.419144287	-0.570878152	-0.199414778	-0.378554472	0.278867852	-0.52660517	0.338595657	0.532978849	-0.374927045	-0.014609365	0.120580207	0.230357186	-0.634902345	-0.010945448	0.321908703	0.357532767	-0.538147643	0.543145454	0.740018516	1.23444868	-0.141624501	0.323235509	0.58030878	0.676324548	0.488172532	0.67936259	0.132838498	-0.37216979
CYB5R3	0.076746899	-0.322708084	0.007792642	-0.025371733	-0.155496912	0.169264655	0.310482457	0.064805907	0.085569367	-0.282629478	0.234743998	0.146849573	-0.099707342	0.103914659	0.194910397	0.091725924	0.405567853	0.098698836	-0.169542199	0.150196182	-0.009780493	0.293459398	0.464740437	0.449903481	-0.284704295	-0.030525462	-0.188439308	-0.238252605	0.080275565	0.250775361	0.095600393	-0.05383705	-0.088010731	-0.320679902	-0.319429092	0.085870104	-0.592345302	-0.20959209	-0.39508109	-0.358445859	-0.163777684	-0.372338622	0.157678118	-0.386266105	-0.210030462	-0.394552251	-0.545289239	0.055098472	-0.049491088	-0.33383761	0.139629404	-0.18660529	-0.145874373	-0.313585521	-0.034801886	0.079422443	0.385935473	0.042696151	0.157855825	-0.016930501	0.246102047	0.197836939	0.037041279	-0.144130743	-0.336066329	0.017541456	0.454316771	0.109024572	-0.057419049	-0.171920518	0.204159849	0.31020883	0.161794311	0.045801858	0.340895162	0.318571287	0.279285323	0.119798685	-0.087743251	-0.61844981	0.242281695	-0.248692656	-0.156219789	-0.086463826	0.158194547	-0.039007193	0.140367298	0.038310802	0.396036061	-0.137392984	-0.063159878	-0.424675384	0.148115239	-0.257724535	0.000657817	-0.259369345	-0.07629459	-0.237017847	0.082693214	-0.072913456
CTSC	0.607880119	0.628970107	-0.718750775	-0.11861416	0.275659501	-0.731169983	-0.398873782	-0.381633361	-0.465928461	0.19086006	-1.238748728	-0.336900308	1.51199238	-0.724991985	-0.794536955	-0.573751837	-0.70318152	-0.051193334	-0.414668158	-0.267721154	0.494485354	-0.948489907	-0.325192171	-0.068593056	0.603121523	0.093787616	-0.077863178	0.490620876	-0.180516072	0.94459884	-0.429827593	-0.163100904	-0.464613212	0.627372578	0.815436515	0.002683025	0.508995342	0.083187131	0.247163127	0.325698585	0.123448994	-1.273405945	-0.389292636	0.479107539	0.210528494	0.653474801	0.682093082	0.836647265	0.783605355	0.000289776	-1.010525174	0.568322313	-0.543133454	0.205454317	0.337252569	0.07797216	-1.136902762	-0.269593084	-0.069782352	0.511850873	0.218703134	0.934152586	0.021135604	1.187630168	-0.559754097	-0.019361448	-0.44590604	0.179857173	0.997193783	-0.446561867	0.257111007	0.080464192	-0.812240912	0.328456572	1.126094989	-0.215295008	0.59867931	-0.400064932	-0.645227154	-0.611119402	-1.231788839	0.063861543	0.973905719	0.049755454	-0.309469027	0.341009326	0.637060576	0.853864167	-0.374855108	0.575235741	-0.131237338	0.239852472	-0.464417505	-0.150084221	1.123883833	0.558898635	0.494463998	-0.403045691	0.483732564	0.066808382
